doc_id,author,title,not_before,not_after,LAGT4-1?,GLAUX?,OGA?,EXPRECCE?,lagt4-1_author,glaux_AUTHOR_STANDARD,oga_author,lagt4-1_title,lagt_genre,lagt_provenience,lagt_tlg_epithet,lagt_tlg_epithet,glaux_TITLE_STANDARD,oga_title_labels,oga_title_from_print_edition,lagt4-1_not_before,lagt4-1_not_after,glaux_STARTDATE,glaux_ENDDATE,oga_not_before,oga_not_after,oga_date_source,oga_date_source_link,oga_comment_on_chronology,oga_formatted_work_date,lagt4-1_tokencount,glaux_TOKENS,oga_tokencount,lagt4-1_source,lagt4-1_tlg_epithet,lagt4-1_genre,lagt4-1_provenience,glaux_GENRE_STANDARD,glaux_DIALECT,glaux_GLAUX_TEXT_ID,glaux_TLG,glaux_SOURCE,glaux_SOURCE_FORMAT,glaux_TM_TEXT,exprecce_author,exprecce_title,exprecce_not_after,exprecce_not_before,exprecce_edition,exprecce_edition_link,oga_id,oga_print_edition,glaux_tlg_ids,glaux_tokens_sum
pta0001.pta009,Severian of Gabala,In illud: In qua potestate haec facis,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: In qua potestate haec facis,Severianus Gabalensis: In illud: In qua potestate haec facis,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,8247.0,,,,,,,,,,,,,,,,,,1702,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 411-428",[nan],0.0
pta0001.pta010,Severian of Gabala,Quomodo animam acceperit Adamus,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Quomodo animam acceperit Adamus,Severianus Gabalensis: Quomodo animam acceperit Adamus (Ms Hs),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3044.0,,,,,,,,,,,,,,,,,,1703,"Jerusalem, Patriarchikê bibliothêkê, Hagiou Saba 27 (PTAMS00170), transcribed by Christian-Peter Voelckers / Matthias Krobback / Giulia Maria Chesi / Mathias Berger",[nan],0.0
pta0001.pta011,Severian of Gabala,De serpente homilia,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De serpente homilia,Severianus Gabalensis: De serpente homilia,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,8909.0,,,,,,,,,,,,,,,,,,1704,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 499-516",[nan],0.0
pta0001.pta012,Severian of Gabala,Oratio in dedicationem pretiosae et uiuificae crucis,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Oratio in dedicationem pretiosae et uiuificae crucis,Severianus Gabalensis: Oratio in dedicationem pretiosae et uiuificae crucis,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3404.0,,,,,,,,,,,,,,,,,,1705,"Johannes Zellinger (ed.), Studien zu Severian von Gabala. Münster 1926, 128-141",[nan],0.0
pta0001.pta013,Severian of Gabala,In Genesim sermo 2,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Genesim sermo 2,Severianus Gabalensis: In Genesim sermo 2,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2010.0,,,,,,,,,,,,,,,,,,1706,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 522-526",[nan],0.0
pta0001.pta014,Severian of Gabala,In illud: Pone manum tuam,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: Pone manum tuam,Severianus Gabalensis: In illud: Pone manum tuam,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,7336.0,,,,,,,,,,,,,,,,,,1707,"Johannes Baptista Aucher, Սեբերիանոսի կամ Սեւերիանոսի Եմեսացւոյ Գաբաղացւոց եպիսկոպոսի ճառք. Severiani sive Seberiani Gabalorum episcopi Emesensis Homiliae. Venedig, 1827",[nan],0.0
pta0001.pta015,Severian of Gabala,In meretricem et pharisaeum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In meretricem et pharisaeum,Severianus Gabalensis: In meretricem et pharisaeum,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2467.0,,,,,,,,,,,,,,,,,,1708,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 531-536",[nan],0.0
pta0001.pta016,Severian of Gabala,In filium prodigum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In filium prodigum,Severianus Gabalensis: In filium prodigum,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5227.0,,,,,,,,,,,,,,,,,,1709,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 627-636",[nan],0.0
pta0001.pta017,Severian of Gabala,In illud: Quomodo scit litteras,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: Quomodo scit litteras,Severianus Gabalensis: In illud: Quomodo scit litteras,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6271.0,,,,,,,,,,,,,,,,,,1710,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 643-652",[nan],0.0
pta0001.pta018,Severian of Gabala,In Chananaeam et Pharaonem,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Chananaeam et Pharaonem,Severianus Gabalensis: In Chananaeam et Pharaonem,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,7444.0,,,,,,,,,,,,,,,,,,1711,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 653-664",[nan],0.0
pta0001.pta019,Severian of Gabala,In dictum apostoli: Non quod volo facio,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In dictum apostoli: Non quod volo facio,Severianus Gabalensis: In dictum apostoli: Non quod volo facio,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6660.0,,,,,,,,,,,,,,,,,,1712,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 663-674",[nan],0.0
pta0001.pta020,Severian of Gabala,In incarnationem domini,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In incarnationem domini,Severianus Gabalensis: In incarnationem domini,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,9171.0,,,,,,,,,,,,,,,,,,1713,"Remco F. Regtuit, Severian of Gabala, Homily on the Incarnation of Christ (CPG 4204): Text, Translation and Introduction. Amsterdam, 1992",[nan],0.0
pta0001.pta021,Severian of Gabala,In proditionem servatoris,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In proditionem servatoris,Severianus Gabalensis: In proditionem servatoris,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3334.0,,,,,,,,,,,,,,,,,,1714,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 713-720",[nan],0.0
pta0001.pta022,Severian of Gabala,De fide,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De fide,Severianus Gabalensis: De fide,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3042.0,,,,,,,,,,,,,,,,,,1715,"Jean-Paul Migne (ed.), Patrologia graeca. 60. Paris 1862, 767-772",[nan],0.0
pta0001.pta023,Severian of Gabala,Contra Iudaeos in serpentem aeneum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Contra Iudaeos in serpentem aeneum,Severianus Gabalensis: Contra Iudaeos in serpentem aeneum,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6343.0,,,,,,,,,,,,,,,,,,1716,"Jean-Paul Migne (ed.), Patrologia graeca. 61. Paris 1862, 793-802",[nan],0.0
pta0001.pta024,Severian of Gabala,De sacrificiis Caini,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De sacrificiis Caini,Severianus Gabalensis: De sacrificiis Caini,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5148.0,,,,,,,,,,,,,,,,,,1717,"Henry Savile (ed.), Τοῦ ἐν ἁγίοις πατρὸς ἡμῶν Ἰωάννου τοῦ Χρυσοστόμου τῶν εὑρισκομένων. τόμος ἕβδομος. Eton 1612, 457–459",[nan],0.0
pta0001.pta025,Severian of Gabala,De sigillis sermo,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De sigillis sermo,Severianus Gabalensis: De sigillis sermo (Ms La),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6207.0,,,,,,,,,,,,,,,,,,1718,"London, BL, Arundel 542 (PTAMS00195), transcribed by Yan Jin",[nan],0.0
pta0001.pta026,Severian of Gabala,In illud: in principium erat verbum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: in principium erat verbum,Severianus Gabalensis: In illud: in principium erat verbum (Ms Bs),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3334.0,,,,,,,,,,,,,,,,,,1719,"Basel, Universitätsbibliothek, F. III. 1a (PTAMS00042), transcribed by Mathias Berger",[nan],0.0
pta0001.pta027,Severian of Gabala,In sanctam pentecosten,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In sanctam pentecosten,Severianus Gabalensis: In sanctam pentecosten,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2800.0,,,,,,,,,,,,,,,,,,1720,"Jean-Paul Migne (ed.), Patrologia graeca. 63. Paris 1862, 933-938",[nan],0.0
pta0001.pta028,Severian of Gabala,In theophaniam,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In theophaniam,Severianus Gabalensis: In theophaniam,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2289.0,,,,,,,,,,,,,,,,,,1721,Daria Coșcodan (Translator),[nan],0.0
pta0001.pta029,Severian of Gabala,In pretiosam et vivificam crucem,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In pretiosam et vivificam crucem,Severianus Gabalensis: In pretiosam et vivificam crucem,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5765.0,,,,,,,,,,,,,,,,,,1722,"Henry Savile (ed.), Τοῦ ἐν ἁγίοις πατρὸς ἡμῶν Ἰωάννου ἀρχιεπισκόπου Κωνσταντινουπόλεως τοῦ Χρυσοστόμου τῶν εὑρισκομένων. Τόμος πέμπτος. Eton 1611, 898–906",[nan],0.0
pta0001.pta030,Severian of Gabala,Homilia de pace,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Homilia de pace,Severian de Gabala: Omilia despre pace,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2624.0,,,,,,,,,,,,,,,,,,1723,Dragoş Boicu (Translator),[nan],0.0
pta0001.pta031,Severian of Gabala,"In illud: Pater, transeat a me calix iste",400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,"In illud: Pater, transeat a me calix iste","Severianus Gabalensis: In illud: Pater, transeat a me calix iste",,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,7577.0,,,,,,,,,,,,,,,,,,1724,"Johannes Baptista Aucher, Seberianosi kam Sewerianosi
                        Emesac'woy Gabaġac'woc' episkoposi Čark'.
                        Severiani sive Seberiani Gabalorum episcopi
                        Emesensis Homiliae. Venedig, 1827",[nan],0.0
pta0001.pta032,Severian of Gabala,Homilia de lotione pedum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Homilia de lotione pedum,Severianus Gabalensis: Homilia de lotione pedum,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,1794.0,,,,,,,,,,,,,,,,,,1725,"Antoine Wenger, Une homélie inédite de Sévérien de Gabala sur le lavement des pieds. Revue des études byzantines.  25. , 1967, 219–234",[nan],0.0
pta0001.pta033,Severian of Gabala,Homilia de quinque aetatibus mundi,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Homilia de quinque aetatibus mundi,Severianus Gabalensis: Homilia de quinque aetatibus mundi (Fragmentum),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,588.0,,,,,,,,,,,,,,,,,,1726,"Κωνσταντίνος Ιωάννης Δυοβουνιώτης, Ἰωάννου Δαμασκηνοῦ Λόγοι ἀνέκδοτοι. Ἐκκλησιαστικὸς Φάρος.  13. , 1914, (58-69,119-149) 148-149",[nan],0.0
pta0001.pta034,Severian of Gabala,De centurione et contra Manichaeos et Apolinaristas,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De centurione et contra Manichaeos et Apolinaristas,Severianus Gabalensis: De centurione et contra Manichaeos et Apolinaristas,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6377.0,,,,,,,,,,,,,,,,,,1727,"Michel Aubineau, Un traité inédit de christologie de Sévérien de Gabala 'In centurionem et contra Manichaeos et Apollinaristas' : exploitation par Sévère d'Antioche (519) et le Synode du Latran (649). Cahiers d'orientalisme 5. Genève, 1983",[nan],0.0
pta0001.pta036,Severian of Gabala,"In Noe et filios eius, de cherubim et in propthetam Oseam",400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,"In Noe et filios eius, de cherubim et in propthetam Oseam","Severianus Gabalensis: In Noe et filios eius, de cherubim et in propthetam Oseam",,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3859.0,,,,,,,,,,,,,,,,,,1728,"Karl-Heinz Uthemann/Remco F. Regtuit/Johannes M. Tevel (ed.), Homiliae Pseudo-Chrysostomicae. Instrumentum studiorum. Vol. I. Turnhout, 1994, 89-102 / Konstantinos I. Dyovouniotis, Ἰωάννου Δαμασκηνοῦ Λόγοι ἀνέκδοτοι. Ἐκκλησιαστικὸς Φάρος.  13. , 1914, 58-69,119-149",[nan],0.0
pta0001.pta037,Severian of Gabala,In Iudaeos et Graecos,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Iudaeos et Graecos,Severianus Gabalensis: In Iudaeos et Graecos,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6061.0,,,,,,,,,,,,,,,,,,1729,"Karl-Heinz Uthemann/Remco F. Regtuit/Johannes M. Tevel (ed.), Homiliae Pseudo-Chrysostomicae. Instrumentum studiorum. Vol. I. Turnhout, 1994, 185–201",[nan],0.0
pta0001.pta038,Severian of Gabala,In illud: Secundum imaginem et similitudinem,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: Secundum imaginem et similitudinem,Severianus Gabalensis: In illud: Secundum imaginem et similitudinem,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,4153.0,,,,,,,,,,,,,,,,,,1730,"Sergey Kim, СЕВЕРИАН ГАВАЛЬСКИЙ, НА СЛОВА: ПО ОБРАЗУ И ПОДОБИЮ (БЫТ. 1, 26), CPG 4234. Часть I. Введение, еditio princeps, русский перевод. БОГОСЛОВСКИЙ ВЕСТНИК.  24-25. , 2017, 468-527",[nan],0.0
pta0001.pta040,Severian of Gabala,De caeco et Zacchaeo,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De caeco et Zacchaeo,Severianus Gabalensis: De caeco et Zacchaeo,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6281.0,,,,,,,,,,,,,,,,,,1731,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 599-610",[nan],0.0
pta0001.pta041,Severian of Gabala,In illud: Quando ipsi subiciet omnia,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: Quando ipsi subiciet omnia,Severianus Gabalensis: In illud: Quando ipsi subiciet omnia,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,4645.0,,,,,,,,,,,,,,,,,,1732,"Sebastian Haidacher, Drei unedierte Chrysostomus-Texte einer Baseler Handschrift. Zeitschrift für katholische Theologie.  31. , 1907, (141–171) 150-167",[nan],0.0
pta0001.pta042,Severian of Gabala,In illud: Genimina viperarum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In illud: Genimina viperarum,"Severianus Gabalensis: In illud: Genimina viperarum (Mt 23,33; Lc 3,7)",,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,9565.0,,,,,,,,,,,,,,,,,,1733,"Judit Kecskeméti, Sévérien de Gabala. Homélie inédite sur le Saint Esprit. , 1978",[nan],0.0
pta0001.pta043,Severian of Gabala,Homilia de Noe et de arca,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Homilia de Noe et de arca,Severianus Gabalensis: Homilia de Noe et de arca,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2512.0,,,,,,,,,,,,,,,,,,1734,"Karl-Heinz Uthemann/Remco F. Regtuit/Johannes M. Tevel (ed.), Homiliae Pseudo-Chrysostomicae. Instrumentum studiorum. Vol. I. Turnhout, 1994, 146-153",[nan],0.0
pta0001.pta044,Severian of Gabala,In Genesim sermo 1,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Genesim sermo 1,Severianus Gabalensis: In Genesim sermo 1,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,1972.0,,,,,,,,,,,,,,,,,,1735,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 519-522",[nan],0.0
pta0001.pta045,Severian of Gabala,In Iob sermo 1,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Iob sermo 1,Severianus Gabalensis: In Iob sermo 1,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2710.0,,,,,,,,,,,,,,,,,,1736,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 563–567",[nan],0.0
pta0001.pta046,Severian of Gabala,In Iob sermo 2,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Iob sermo 2,Severianus Gabalensis: In Iob sermo 2,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2113.0,,,,,,,,,,,,,,,,,,1737,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 567–570",[nan],0.0
pta0001.pta047,Severian of Gabala,In Iob sermo 3,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Iob sermo 3,Severianus Gabalensis: In Iob sermo 3,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,4329.0,,,,,,,,,,,,,,,,,,1738,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 570–576",[nan],0.0
pta0001.pta048,Severian of Gabala,In Iob sermo 4,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In Iob sermo 4,Severianus Gabalensis: In Iob sermo 4,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,4608.0,,,,,,,,,,,,,,,,,,1739,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 576–582",[nan],0.0
pta0001.pta049,Severian of Gabala,De tribus pueris sermo,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De tribus pueris sermo,Severianus Gabalensis: De tribus pueris sermo,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3361.0,,,,,,,,,,,,,,,,,,1740,"Jean-Paul Migne (ed.), Patrologia graeca. 56. Paris 1862, 593-600",[nan],0.0
pta0001.pta050,Severian of Gabala,De caeco nato,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De caeco nato,Severianus Gabalensis: De caeco nato,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,7287.0,,,,,,,,,,,,,,,,,,1741,"Jean-Paul Migne (ed.), Patrologia graeca. 59. Paris 1862, 543-554",[nan],0.0
pta0001.pta051,Severian of Gabala,Encomium in sanctos martyres,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Encomium in sanctos martyres,Severianus Gabalensis: Encomium in sanctos martyres,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3887.0,,,,,,,,,,,,,,,,,,1742,"Karl-Heinz Uthemann/Remco F. Regtuit/Johannes M. Tevel (ed.), Homiliae Pseudo-Chrysostomicae. Instrumentum studiorum. Vol. I. Turnhout, 1994, 107-117",[nan],0.0
pta0001.pta052,Severian of Gabala,In postremum iudicium,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In postremum iudicium,Severianus Gabalensis: In postremum iudicium (vel De fine ieiunii),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,2858.0,,,,,,,,,,,,,,,,,,1743,"Karl-Heinz Uthemann/Remco F. Regtuit/Johannes M. Tevel (ed.), Homiliae Pseudo-Chrysostomicae. Instrumentum studiorum. Vol. I. Turnhout, 1994, 165-172",[nan],0.0
pta0001.pta053,Severian of Gabala,In accensionem domini,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In accensionem domini,Severianus Gabalensis: In accensionem domini,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,3771.0,,,,,,,,,,,,,,,,,,1744,"H. Chatzoglou-Balta, Ἕξ λόγοι στὴν ἑορτὴ τῆς Ἀναλήψεως τοῦ Κυρίου ἀποδιδόμενοι στὸν ἅγιο Ἰωάννη τὸν Χρυσόστομο. Προλεγόμενα σὲ μιὰ κριτικὴ ἔκδοση. Ἐπετηρὶς Ἑταιρείας Βυζαντινῶν Σπουδῶν.  53. , 2009, 303-376",[nan],0.0
pta0001.pta054,Severian of Gabala,De cruce et latrone,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De cruce et latrone,Severianus Gabalensis: De cruce et latrone,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,1788.0,,,,,,,,,,,,,,,,,,1745,"Antoine Wenger, Le sermon 80 de la collection augustinienne de Maï, restitué à Sévérien de Gabala. Augustinus magister. Congrès international augustinien (Paris, 21-24 septembre 1954), t. 1 - Communications. Études Augustiniennes. Série Antiquité 1. Paris, 1955, 175-185",[nan],0.0
